mensaje,spam
"Felicitaciones, ganaste un premio. Reclmalo ahora.",1
Haz clic aqu para desbloquear tu tarjeta.,1
Te mando la factura adjunta.,0
Haz clic aqu para descargar tu cupn gratis.,1
Te mando la factura adjunta.,0
Te mando la factura adjunta.,0
Haz clic aqu para descargar tu cupn gratis.,1
Revisa el documento que te compart.,0
Haz clic aqu para descargar tu cupn gratis.,1
Tu pedido fue enviado y llegar pronto.,0
Te mando la factura adjunta.,0
Obtn prstamos sin intereses.,1
"Feliz cumpleaos, espero que la pases bien.",0
Gracias por tu ayuda con el proyecto.,0
Te llamo ms tarde.,0
Puedes enviarme la direccin?,0
Recibe productos gratis participando en esta encuesta.,1
Recibe productos gratis participando en esta encuesta.,1
Haz clic aqu para descargar tu cupn gratis.,1
Recibe productos gratis participando en esta encuesta.,1
Te mando la factura adjunta.,0
Puedes enviarme la direccin?,0
Haz clic aqu para descargar tu cupn gratis.,1
"Tu cuenta ha sido suspendida, actualiza tus datos.",1
"Hola, cmo ests?",0
Gana dinero rpido trabajando desde casa.,1
Tu pedido fue enviado y llegar pronto.,0
Gana dinero rpido trabajando desde casa.,1
Haz clic aqu para desbloquear tu tarjeta.,1
"Hola, cmo ests?",0
Obtn prstamos sin intereses.,1
Revisa el documento que te compart.,0
Haz clic aqu para descargar tu cupn gratis.,1
Puedes enviarme la direccin?,0
Haz clic aqu para descargar tu cupn gratis.,1
Nos vemos maana en la reunin.,0
Confirmo mi asistencia al evento.,0
Haz clic aqu para descargar tu cupn gratis.,1
Puedes enviarme la direccin?,0
Revisa el documento que te compart.,0
"Oferta limitada, haz clic aqu para ms detalles.",1
Te llamo ms tarde.,0
Revisa el documento que te compart.,0
Tu pedido fue enviado y llegar pronto.,0
Puedes enviarme la direccin?,0
Accede a contenido exclusivo solo hoy.,1
Revisa el documento que te compart.,0
Nos vemos maana en la reunin.,0
"Hola, cmo ests?",0
Puedes enviarme la direccin?,0
Puedes enviarme la direccin?,0
Gana dinero rpido trabajando desde casa.,1
Recibe productos gratis participando en esta encuesta.,1
Nos vemos maana en la reunin.,0
Recibe productos gratis participando en esta encuesta.,1
Gracias por tu ayuda con el proyecto.,0
"Tu cuenta ha sido suspendida, actualiza tus datos.",1
Te mando la factura adjunta.,0
Revisa el documento que te compart.,0
Te mando la factura adjunta.,0
Te llamo ms tarde.,0
"Felicitaciones, ganaste un premio. Reclmalo ahora.",1
Haz clic aqu para descargar tu cupn gratis.,1
Puedes enviarme la direccin?,0
"Feliz cumpleaos, espero que la pases bien.",0
Tu pedido fue enviado y llegar pronto.,0
"Felicitaciones, ganaste un premio. Reclmalo ahora.",1
Invierte hoy y duplica tu dinero en una semana.,1
Haz clic aqu para descargar tu cupn gratis.,1
Te mando la factura adjunta.,0
"Tu cuenta ha sido suspendida, actualiza tus datos.",1
Nos vemos maana en la reunin.,0
Te llamo ms tarde.,0
Revisa el documento que te compart.,0
Accede a contenido exclusivo solo hoy.,1
Obtn prstamos sin intereses.,1
Accede a contenido exclusivo solo hoy.,1
Haz clic aqu para descargar tu cupn gratis.,1
Te mando la factura adjunta.,0
"Oferta limitada, haz clic aqu para ms detalles.",1
"Hola, cmo ests?",0
Puedes enviarme la direccin?,0
Obtn prstamos sin intereses.,1
Invierte hoy y duplica tu dinero en una semana.,1
Haz clic aqu para descargar tu cupn gratis.,1
Te mando la factura adjunta.,0
"Felicitaciones, ganaste un premio. Reclmalo ahora.",1
Gana dinero rpido trabajando desde casa.,1
Gracias por tu ayuda con el proyecto.,0
Gracias por tu ayuda con el proyecto.,0
Accede a contenido exclusivo solo hoy.,1
Recibe productos gratis participando en esta encuesta.,1
"Hola, cmo ests?",0
"Felicitaciones, ganaste un premio. Reclmalo ahora.",1
Puedes enviarme la direccin?,0
Invierte hoy y duplica tu dinero en una semana.,1
Haz clic aqu para descargar tu cupn gratis.,1
Accede a contenido exclusivo solo hoy.,1
"Tu cuenta ha sido suspendida, actualiza tus datos.",1
"Feliz cumpleaos, espero que la pases bien.",0
"Oferta limitada, haz clic aqu para ms detalles.",1
"Hola, cmo ests?",0
Te llamo ms tarde.,0
Puedes enviarme la direccin?,0
Tu pedido fue enviado y llegar pronto.,0
